checkpoint_path,mode,size_bytes,mtime_utc,has_full_state_nearby
"/home/lab929/ybj/SALT-VI/checkpoints/metric_boost/tvi_lfm_reports/metric_boost/h1_hpt_stage1/runs/HPT-C0/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_Fix_Visual/models/model_Fusion_epoch_14.pth",Fusion,598957584,2026-07-18T16:54:36+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/metric_boost/tvi_lfm_reports/metric_boost/h1_hpt_stage1/runs/HPT-L025/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_Fix_Visual/models/model_Fusion_epoch_15.pth",Fusion,598957555,2026-07-18T20:07:17+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/metric_boost/tvi_lfm_reports/metric_boost/runs/FGAP-P3-asym-hard-qbn/model_output/sysu/FV_QBN/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_uni_BN_Fix_Visual/models/model_Fusion_1.pth",Fusion,598999720,2026-07-13T17:17:19+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/metric_boost/tvi_lfm_reports/metric_boost/runs/FGAP2-P2-h1-qbn-freeze/model_output/sysu/FV_QBN/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_uni_BN_Fix_Visual/models/model_Fusion_epoch_19.pth",Fusion,598999648,2026-07-14T06:15:01+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/metric_boost/tvi_lfm_reports/metric_boost/runs/PAIRWISE-1-hard-llm05/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_LLM_0.5_id,cross_modal_hard_Fix_Visual/models/model_Fusion_21.pth",Fusion,598957375,2026-07-12T20:46:05+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/metric_boost/tvi_lfm_reports/metric_boost/runs/TRAIN-3-H1/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_Fix_Visual/models/model_Fusion_1.pth",Fusion,598957993,2026-07-11T05:02:48+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/metric_boost/tvi_lfm_reports/metric_boost/runs/TRAIN-4-seed-1/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_Fix_Visual/models/model_Fusion_19.pth",Fusion,598957376,2026-07-11T12:53:28+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/metric_boost/tvi_lfm_reports/metric_boost/runs/TRAIN-4-seed-42/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_Fix_Visual/models/model_Fusion_23.pth",Fusion,598957368,2026-07-11T16:17:44+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/qwen/experiments/qwen_text_aug_grid_e30_20260727/T3_balanced50/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_LLM_0.5_id,cross_modal_hard_Fix_Visual/models/model_Fusion_epoch_23.pth",Fusion,606795913,2026-07-27T23:23:13+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/qwen/experiments/qwen_text_aug_grid_e30_20260727/T3_balanced50/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_LLM_0.5_id,cross_modal_hard_Fix_Visual/models/model_Fusion_epoch_27.pth",Fusion,606795913,2026-07-28T00:23:30+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_a/experiments/stage_a_pasd_no_mbpatch_b16_20260811/best/model_IR_epoch_23.pth,IR,600890217,2026-08-11T22:04:10+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_a/experiments/stage_a_pmt_nomb_b128_flash_24ep_20260814/best/model_IR_epoch_23.pth,IR,600887334,2026-08-15T05:39:24+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_a/experiments/stage_a_pmt_vit_pasd_idmix_b32_50_20260813_4090/best/model_IR_epoch_35.pth,IR,600887334,2026-08-13T01:21:48+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_a/experiments/stage_a_pmt_vit_pasd_nomb_b32_50_20260813_4090/best/model_IR_epoch_45.pth,IR,600887334,2026-08-13T03:08:12+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_a/experiments/stage_a_tvilfm_rn50_pasd_direct_20260813/best/model_IR_epoch_115.pth,IR,354601437,2026-08-13T05:32:05+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_a/tvi_lfm_logs/stage_a_pmt_vit_recipe_288x144_768_mbpatch_run1/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/models/model_IR_27.pth,IR,604863240,2026-06-19T12:54:55+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/ir_to_rgb_text_fusion84_30_20260809/best/model_Fusion_epoch_10.pth,Fusion,606795656,2026-08-09T18:38:30+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/r_text_visual_llm_aug_40_20260810/best_minp/model_Fusion_epoch_28.pth,Fusion,606796148,2026-08-10T14:58:39+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/r_text_visual_llm_aug_40_20260810/best_rank1_map/model_Fusion_epoch_33.pth,Fusion,606796148,2026-08-10T16:12:54+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/salt_ablation/r_text_visual_20260729/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_Fix_Visual/models/model_Fusion_epoch_23.pth",Fusion,606796050,2026-07-29T19:20:00+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/salt_r_text_visual_repro_20260809/best/model_Fusion_epoch_29.pth,Fusion,606796080,2026-08-09T08:34:07+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/stage_b_rn50_pasd_r_text_visual_30_20260815/best/model_Fusion_epoch_6.pth,Fusion,357872686,2026-08-15T05:11:48+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/stage_b_rn50_two_stage_grid_40_20260815/r3_switch24_fullpairs/best/model_Fusion_epoch_6.pth,Fusion,357872586,2026-08-15T10:40:09+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/stageb-fusion-ablation/e3_no_sff_norm_add/results/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_norm_add_id,wrt_Fix_Visual/models/model_Fusion_1.pth",Fusion,598957993,2026-07-08T18:15:02+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/stageb-fusion-ablation/e4_no_sff_parameter_add_pa05/results/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,wrt_Fix_Visual/models/model_Fusion_9.pth",Fusion,598957381,2026-07-08T12:22:43+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/stageb-fusion-ablation/e5_no_sff_cross_attention/results/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_cross_attention_id,wrt_Fix_Visual/models/model_Fusion_31.pth",Fusion,608429046,2026-07-08T14:03:53+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/stageb-vit-tvilfm-sff/results/train/sysu/FV_Filter/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_add_id,wrt_Fix_Visual_Filtered/models/model_Fusion_13.pth",Fusion,598957993,2026-07-08T04:52:17+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/tvilfm-result-archive-20260710/token_to_token/g0_add/best/model_Fusion_13.pth,Fusion,598957381,2026-07-08T05:53:45+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/tvilfm-result-archive-20260710/token_to_token/g1_parameter_add_pa05/best/model_Fusion_9.pth,Fusion,598957385,2026-07-09T19:14:19+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/tvilfm-result-archive-20260710/token_to_token/g2_current_token_aware_pa05/best/model_Fusion_5.pth,Fusion,605255968,2026-07-09T17:49:42+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/tvilfm-result-archive-20260710/token_to_token/g3_cross_attention/best/model_Fusion_31.pth,Fusion,608428648,2026-07-09T19:47:30+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/tvilfm-result-archive-20260710/token_to_token/n1_token_to_token_direct/best/model_Fusion_31.pth,Fusion,630456504,2026-07-09T19:44:40+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/experiments/tvilfm-result-archive-20260710/token_to_token/n2_token_to_token_residual_pa05/best/model_Fusion_9.pth,Fusion,630456398,2026-07-09T20:20:00+00:00,False
/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_logs/sampling_mining_ablation/h5_pk8x4_auto_replace_crossmodal_hard/sysu/Base/Baseline_train[RGB_IR]_pmt_recipe/models/model_IR_23.pth,IR,598957401,2026-07-06T21:59:21+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_logs/stage_b/adaptive_no_sff/b1_scalar_alpha/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_adaptive_add_id,wrt_Fix_Visual/models/model_Fusion_3.pth",Fusion,598958217,2026-07-08T16:05:22+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_logs/stage_b/adaptive_no_sff/b2_sample_gate/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_adaptive_add_id,wrt_Fix_Visual/models/model_Fusion_1.pth",Fusion,601320219,2026-07-08T15:58:12+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_logs/stage_b/adaptive_no_sff/b3_channel_gate/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_adaptive_add_id,wrt_Fix_Visual/models/model_Fusion_3.pth",Fusion,602108693,2026-07-08T16:06:48+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_logs/stage_b/adaptive_no_sff/b4_residual_gate/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_adaptive_add_id,wrt_Fix_Visual/models/model_Fusion_9.pth",Fusion,602109309,2026-07-08T18:26:24+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_logs/stage_b/adaptive_no_sff/b5_norm_residual_gate/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_adaptive_add_id,wrt_Fix_Visual/models/model_Fusion_29.pth",Fusion,602108681,2026-07-08T21:23:10+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_logs/stage_b/parameter_add_ablation/e10_parameter_add_pa03/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,wrt_Fix_Visual/models/model_Fusion_13.pth",Fusion,598957386,2026-07-09T02:23:56+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_logs/stage_b/parameter_add_ablation/e7_parameter_add_pa07/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,wrt_Fix_Visual/models/model_Fusion_13.pth",Fusion,598957393,2026-07-09T04:04:42+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_reports/a3_e4_hpt_l025/e4/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,wrt_Fix_Visual/models/model_Fusion_21.pth",Fusion,606796156,2026-07-20T22:25:27+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_reports/a3_e4_hpt_l025/hpt_l025/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_Fix_Visual/models/model_Fusion_epoch_13.pth",Fusion,606795992,2026-07-21T05:11:46+00:00,False
"/home/lab929/ybj/SALT-VI/checkpoints/stage_b/tvi_lfm_reports/a3_e4_hpt_l025/hpt_l025/model_output/sysu/FV/Baseline_train[RGB_IR_Text]_joint[uni]_Blip_parameter_add_id,cross_modal_hard_Fix_Visual/models/model_Fusion_epoch_15.pth",Fusion,606795992,2026-07-21T05:47:55+00:00,False
